die,algebraische Geometrie {f},cebirsel geometri,noun,[acad.] [math.],f
die,algebraische Topologie {f},cebirsel topoloji,noun,[math.],f
die,Algebra {f},cebir,noun,[math.],f
das,Algerien {n},Cezayir,noun,[geogr.],n
die,Algesiologie {f},algoloji,noun,[med.],f
die,Algesiologie {f},ağrı bilimi,noun,[med.],f
die,Alge {f},su yosunu,noun,[bot.] [T],f
der,Algorithmus {m},algoritma,noun,[comp.] [math.],m
das,Alibi {n},alibi,noun,[law],n
"die, pl",Alimente {pl},nafaka {sg},noun,[law],pl
die,Alkmene {f},Alkmene,noun,[myth.],f
die,Alkoholikerin {f},alkolik [kadın],noun,,f
der,Alkoholiker {m},alkolik,noun,,m
das,alkoholisches Getränk {n},içki,noun,,n
der,Alkoholsüchtiger {m},alkolik,noun,,m
der,Alkohol {m},alkol,noun,,m
die,Allegorie {f},alegori,noun,[lit.],f
das,Alleinsein {n},yalnızlık,noun,,n
das,Alleinsein {n} [ohne dich],sensizlik,noun,,n
die,Allergie {f},alerji,noun,[med.],f
die,Allergologie {f},alerjiloji,noun,[acad.] [med.],f
die,allgemeine Relativitätstheorie {f},göreliliğin genel kuramı,noun,[phys.],f
die,Allgemeinheit {f},kamu,noun,,f
das,Allgemeinwissen {n},genel bilgi,noun,,n
der,Alliierte {m},müttefik,noun,[mil.] [pol.],m
das,Allomorph {n},alomorf,noun,[ling.],n
die,allopatrische Artbildung {f},allopatrik türleşme,noun,[biol.],f
die,Almsuppe {f} [Fleischbrühe mit Reis und mit nach dem Kochen eingerührtem Joghurt und Eigelb],yayla çorbası,noun,,f
die,Alpenbraunelle {f},büyük dağ bülbülü [Prunella collaris],noun,[orn.] [T],f
die,Alpendohle {f},sarı gagalı dağ kargası [Pyrrhocorax graculus],noun,[orn.] [T],f
die,Alpenkrähe {f},kırmızı gagalı dağ kargası [Pyrrhocorax pyrrhocorax],noun,[orn.] [T],f
das,Alpenveilchen {n},siklamen,noun,[bot.] [T],n
"die, pl",Alpen {pl},Alpler,noun,[geogr.],pl
das,Alphabet {n},alfabe,noun,[ling.],n
der,Alptraum {m},karabasan [kâbus],noun,[psych.],m
der,Alptraum {m},kâbus,noun,[psych.],m
der,Altar {m},sunak,noun,[relig.],m
der,Altbau {m},eski bina,noun,[archi.],m
die,alte Jungfer {f} [pej.],evlenmemiş kadın,noun,,f
der,alter Knacker {m} [ugs.] [pej.],moruk [argo],noun,,m
die,Alternative {f},alternatif,noun,,f
die,Alternative {f},seçenek,noun,,f
das,Altersheim {n},huzurevi,noun,,n
das,Altertum {n},eskiçağ,noun,,n
der,Alter {m} [ugs.] [alter Mann],moruk [argo],noun,,m
das,Alter {n},sin [yaş] [osm.],noun,,n
das,Alter {n},yaş,noun,,n
das,Alter {n} [Betagtheit],yaşlılık,noun,,n
das,Altes Testament {n},Tevrat,noun,[relig.],n
das,Altes Ägypten {n},Antik Mısır,noun,,n
das,Altimeter {n},altimetre,noun,[tech.],n
der,Altwarenhändler {m},eskici,noun,[jobs],m
der,Alt {m},alto,noun,[mus.],m
